 k	satisfy ineq	don't satisfy ineq
3	0	0
5	0	0
7	2	1
11	5	5
13	7	5
17	11	13
19	20	16
23	27	28
29	40	44
31	58	47
37	76	68
41	89	91
43	111	99
47	127	126
53	155	157
59	199	207
61	222	198
67	272	256
71	301	294
73	318	294
79	375	366
83	404	416
89	458	466
97	557	547
101	597	603
103	654	621
107	673	705
109	708	696
113	758	754
127	1003	950
131	1044	1036
137	1115	1129
139	1177	1169
149	1309	1355
151	1413	1362
157	1502	1462
163	1642	1598
167	1681	1722
173	1804	1808
179	1936	1980
181	2002	1958
191	2241	2224
193	2287	2225
197	2328	2376
199	2444	2407
211	2774	2686
223	3074	3031
227	3146	3182
229	3228	3156
233	3270	3342
239	3500	3521
241	3583	3497
251	3869	3881
257	4032	4032
263	4236	4279
269	4392	4452
271	4590	4455
277	4715	4669
281	4838	4822
283	4977	4893
293	5228	5284
307	5846	5782
311	5973	5962
313	6081	5931
317	6133	6191
331	6823	6707
337	6998	6946
347	7409	7469
349	7500	7464
353	7664	7648
359	7907	8024
367	8361	8292
373	8592	8520
379	8961	8805
383	9095	9050
389	9291	9333
397	9794	9610
401	9897	9903
409	10319	10285
419	10818	10918
421	11022	10818
431	11491	11514
433	11601	11511
439	11955	11916
443	12137	12173
449	12415	12449
457	12917	12847
461	13060	13160
463	13392	13173
467	13502	13526
479	14187	14254
487	14743	14660
491	14987	14903
499	15460	15416
